iter	Passed	Remaining
729	21752	34119
730	21783	34090
731	21813	34060
732	21841	34029
733	21871	33998
734	21901	33969
735	21931	33939
736	21960	33909
737	22021	33927
738	22052	33899
739	22082	33870
740	22113	33841
741	22143	33812
742	22173	33782
743	22202	33751
744	22232	33721
745	22262	33692
746	22291	33661
747	22323	33634
748	22353	33605
749	22382	33574
750	22413	33545
751	22442	33513
752	22471	33482
753	22500	33451
754	22529	33421
755	22560	33392
756	22590	33363
757	22619	33331
758	22648	33301
759	22677	33269
760	22706	33238
761	22736	33209
762	22764	33177
763	22795	33149
764	22827	33122
765	22859	33095
766	22889	33065
767	22918	33035
768	22948	33005
769	22978	32975
770	23008	32946
771	23038	32916
772	23067	32885
773	23096	32854
774	23125	32823
775	23154	32791
776	23184	32763
777	23214	32732
778	23245	32704
779	23275	32675
780	23304	32644
781	23334	32615
782	23364	32585
783	23393	32554
784	23423	32524
785	23452	32493
786	23483	32465
787	23512	32434
788	23542	32404
789	23573	32376
790	23604	32347
791	23634	32318
792	23664	32288
793	23693	32257
794	23723	32228
795	23753	32198
796	23782	32167
797	23811	32136
798	23842	32107
799	23871	32077
800	23900	32046
801	23930	32016
802	23959	31985
803	23998	31967
804	24027	31936
805	24055	31905
806	24085	31874
807	24114	31844
808	24145	31815
809	24173	31783
810	24202	31752
811	24232	31722
812	24261	31692
813	24290	31661
814	24319	31630
815	24348	31599
816	24377	31568
817	24406	31537
818	24438	31510
819	24467	31479
820	24496	31449
821	24526	31418
822	24556	31389
823	24585	31357
824	24614	31328
825	24644	31297
826	24673	31267
827	24702	31236
828	24732	31206
829	24763	31177
830	24793	31148
831	24822	31118
832	24852	31087
833	24880	31056
834	24910	31026
835	24939	30994
836	24969	30966
837	25000	30936
838	25029	30906
839	25058	30876
840	25086	30844
841	25115	30812
842	25146	30783
843	25175	30753
844	25205	30724
845	25235	30693
846	25263	30662
847	25292	30630
848	25321	30600
849	25349	30568
850	25379	30538
851	25408	30508
852	25438	30478
853	25467	30447
854	25498	30419
855	25528	30389
856	25558	30360
857	25586	30328
858	25615	30297
859	25645	30268
860	25675	30238
861	25705	30208
862	25734	30177
863	25763	30146
864	25792	30115
865	25821	30085
866	25849	30053
867	25880	30024
868	25911	29996
869	25940	29965
870	25968	29933
871	25996	29902
872	26028	29874
873	26058	29844
874	26088	29815
875	26118	29786
876	26148	29756
877	26177	29725
878	26207	29695
879	26235	29664
880	26262	29630
881	26289	29598
882	26319	29567
883	26349	29538
884	26378	29508
885	26408	29478
886	26438	29448
887	26467	29418
888	26496	29387
889	26524	29355
890	26566	29339
891	26596	29309
892	26626	29279
893	26655	29249
894	26684	29218
895	26713	29188
896	26743	29158
897	26771	29126
898	26800	29095
899	26830	29066
900	26859	29035
901	26889	29006
902	26918	28975
903	26948	28945
904	26976	28914
